id;x_max;x_min;y_max;y_min
1;1.88968849;1.44053085;49.24839184;48.95431921
2;1.88968849;1.44053085;48.95431921;48.65850281
3;1.88968849;1.44053085;48.65850281;48.36094022
5;2.33884614;1.88968849;49.24839184;48.95431921
6;2.33884614;1.88968849;48.95431921;48.65850281
7;2.33884614;1.88968849;48.65850281;48.36094022
8;2.33884614;1.88968849;48.36094022;48.06162922
9;2.78800378;2.33884614;49.24839184;48.95431921
10;2.78800378;2.33884614;48.95431921;48.65850281
11;2.78800378;2.33884614;48.65850281;48.36094022
12;2.78800378;2.33884614;48.36094022;48.06162922
13;3.23716142;2.78800378;49.24839184;48.95431921
14;3.23716142;2.78800378;48.95431921;48.65850281
15;3.23716142;2.78800378;48.65850281;48.36094022
16;3.23716142;2.78800378;48.36094022;48.06162922
18;3.68631906;3.23716142;48.95431921;48.65850281
19;3.68631906;3.23716142;48.65850281;48.36094022
